#Datasets	deep1_merged_silva	deep2_merged_silva	deep3_merged_silva
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;"	2	3	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;"	0	0	2
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;"	0	10	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;"	8	112	128
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;"	0	3	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;"	0	23	1
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;unclassified Thiotrichales;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;unclassified Thiotrichales;Fangia;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;unclassified Thiotrichales;Fangia;Fangia hongkongensis;"	0	11	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;OMG group;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;OMG group;OM182 clade;"	2	5	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;OMG group;SAR92 clade;"	2	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;OMG group;SAR92 clade;environmental samples <SAR92 clade>;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;OMG group;SAR92 clade;environmental samples <SAR92 clade>;uncultured SAR92 cluster bacterium;"	3	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;"	2	19	11
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;"	0	0	1
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;Photobacterium sp. HAR72;"	0	3	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;"	12	40	6
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio harveyi group;"	0	2	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;"	0	0	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;"	0	4	4
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;"	0	8	0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xylella;"	0	3	0
"root;cellular organisms;Bacteria;Spirochaetes;"	5	0	0
"root;cellular organisms;Bacteria;unclassified Bacteria;"	0	0	0
"root;cellular organisms;Bacteria;unclassified Bacteria;Candidatus Saccharibacteria;"	0	2	0
"root;cellular organisms;Eukaryota;"	0	0	0
"root;cellular organisms;Eukaryota;Stramenopiles;"	0	0	0
"root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;"	0	0	0
"root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;"	0	0	0
"root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;Phytophthora;"	0	0	0
"root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;Phytophthora;Phytophthora ramorum;"	0	0	3
"root;cellular organisms;Eukaryota;Viridiplantae;"	0	1	3
"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;"	0	0	0
"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Nephroselmidophyceae;"	0	0	0
"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Nephroselmidophyceae;Nephroselmis;"	0	0	0
"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Nephroselmidophyceae;Nephroselmis;Nephroselmis olivacea;"	2	23	0
"root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;"	0	1	0
"root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Mesostigmatophyceae;"	0	0	0
"root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Mesostigmatophyceae;Mesostigmatales;"	0	0	0
"root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae;"	0	0	0
"root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae;Mesostigma;"	0	0	0
"root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae;Mesostigma;Mesostigma viride;"	0	2	0
"root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;"	0	0	0
"root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;"	1	1	0
"root;unclassified sequences;"	0	0	0
"root;unclassified sequences;environmental samples <unclassified>;"	0	0	0
"root;unclassified sequences;environmental samples <unclassified>;uncultured marine microorganism;"	0	0	5
"root;unclassified sequences;environmental samples <unclassified>;uncultured organism;"	0	0	7
"root;No hits;"	127	656	1269
